id,task,status,priority,notes,phase
44,Slots - Slot rules schema: Slot windows; day-of-week rules; holidays/blackouts; cutoffs; advance-days; capacity (SRS 12.10),done,high,"depends on #9c | reset: audited against actual code, found false - Slot.cs/SlotConfiguration.cs exist only as unintegrated drafts in _salvage/slots/ (wrong namespace: backend.shared.* not Nestly.*); the real backend/ has zero Slot entity. Not done. | no changes made: 2026-07-29 22:55:54 | superseded: decomposed into subtasks 44a,44b,44c,44d,44e,44f | completed: all subtasks (44a-44f, 44ca-44cc) done",Phase 2 - Catalog & Serviceability
44a,Slots - Slot windows,done,high,"depends on #9c | reset: audited against actual code, found false - Slot.cs/SlotConfiguration.cs exist only as unintegrated drafts in _salvage/slots/ (wrong namespace: backend.shared.* not Nestly.*); the real backend/ has zero Slot entity. Not done. | no changes made: 2026-07-29 22:55:54 | verification failed: 2026-07-30 20:16:16 | awaiting review - built by local (qwen2.5-coder:7b) 2026-07-30 20:18:09, 243s | needed 2 attempts; decomposed subtask;  | reset: prior 'review' version modeled SlotWindow with an absolute DateTime start/end, which can't represent a reusable recurring window; redesigned to TimeSpan start/end (city-scoped, admin-configured), verified never wired into DbContext/migrations so safe to replace. Migration 20260730160755_AddSlotWindowSchema; 4 new tests, full suite 110/110 pass",Phase 2 - Catalog & Serviceability
44b,Slots - day-of-week rules,done,high,"depends on #44a | awaiting review - built by local (qwen2.5-coder:7b) 2026-07-30 20:19:37, 84s | decomposed subtask;  | reset: prior version duplicated Start/End TimeSpan on the rule itself (redundant with the window's own times); redesigned SlotWindowRule to just mark DayOfWeek on a SlotWindow (unique per window+day), cascade-deletes with its parent window since it has no meaning without it",Phase 2 - Catalog & Serviceability
44c,Slots - holidays/blackouts,done,high,"depends on #44b | timed out: 2026-07-30 20:29:41 | superseded: decomposed into subtasks | completed: SlotBlackout entity (city, date range, Type discriminator Holiday|Blackout, reason) - one table covers both concepts (see 44ca) since they're structurally identical",Phase 2 - Catalog & Serviceability
44d,Slots - cutoffs,done,high,"depends on #44cc | completed: folded into SlotBookingPolicy.CutoffMinutes (one row per city) alongside 44e's advance-days, since both are simple per-city scalar settings",Phase 2 - Catalog & Serviceability
44e,Slots - advance-days,done,high,depends on #44d | completed: folded into SlotBookingPolicy.MaxAdvanceDays alongside 44d's cutoff - one policy entity/table per city rather than two near-empty tables,Phase 2 - Catalog & Serviceability
44f,Slots - capacity (SRS 12.10),done,high,"depends on #44e | completed: folded into task 44a's SlotWindow.MaxBookingsPerSlot (nullable int) rather than a separate SlotCapacityRule table - capacity naturally belongs to the window it constrains, and SRS 12.10.1 phrases it as optional ('if capacity is used'), which a nullable field expresses directly. See commit for 44a/44b.",Phase 2 - Catalog & Serviceability
44ca,Create C# data transfer objects for HolidayEvent and BlackoutPeriod including start/end dates and exclusion flags within the entity repository models.,done,high," | completed: rather than two near-identical DTOs, one SlotBlackout entity with a SlotBlackoutType enum (Holiday/Blackout) discriminator covers both start/end date + reason",Phase 2 - Catalog & Serviceability
44cb,Implement a storage access method that retrieves active holiday/blackout records falling within a requested date range from the database or configuration store.,done,high,"depends on #44ca | completed: ISlotBlackoutRepository.ListInRangeAsync(cityId, from, to) - overlap query (StartDate<=to && EndDate>=from); no caching layer added (see note on 44cc)",Phase 2 - Catalog & Serviceability
44cc,Update the slot availability calculation logic to iterate through cached blackout periods and mask any calendar segments overlapping with defined intervals before returning results.cw,done,high,"depends on #44cb | completed: SlotAvailabilityService.GetAvailableSlotsAsync queries ISlotBlackoutRepository.ListInRangeAsync and masks the whole date if any blackout.CoversDate(date) - see task 45c commit. No caching layer (direct DB query - a handful of rows per city, correctness first; add caching if it becomes a measured bottleneck)",Phase 2 - Catalog & Serviceability
45a,Slots - Basic slot calculations: time windows,done,high,"depends on #43 #44f | partial draft in _salvage/slots/Slot.cs; reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification | completed: ISlotWindowRepository.ListActiveForCityAndDayAsync finds active windows with a rule for the target day of week (basic time-window calculation)",Phase 2 - Catalog & Serviceability
45b,Slots - Add serviceability and cutoff logic,done,high,"depends on #45a #43 | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification | completed: GetAvailableSlotsAsync checks IServiceabilityValidationService first (IsServiceable=false short-circuit, distinct from an empty-slots business outcome) then applies cutoff (window start vs now+CutoffMinutes) and advance-days range checks",Phase 2 - Catalog & Serviceability
45c,Slots - Add capacity and blackout constraints,done,high,"depends on #45b | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification | completed: date-level SlotBlackout check (whole day excluded if covered) plus SlotWindow.MaxBookingsPerSlot surfaced on each returned slot option (actual remaining-capacity subtraction needs the Booking aggregate from Phase 3, not yet built - documented as a known boundary)",Phase 2 - Catalog & Serviceability
45d,Slots - Add reschedule revalidation support,done,high,"depends on #45c | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification | completed: RevalidateSlotAsync re-runs the same GetAvailableSlotsAsync checks against a previously offered SlotWindowId+date and reports IsValid/Reason - catches cutoff/blackout/serviceability changes since the customer picked the slot",Phase 2 - Catalog & Serviceability
46,Slots - Slot APIs: Get available slots for service+address+date; revalidate slot (SRS 24.4),done,high,"depends on #45d | completed: GET /api/v1/slots?serviceId=&localityId=&date= and GET /api/v1/slots/revalidate?...&slotWindowId= - thin controllers over the already-tested ISlotAvailabilityService; no [Authorize] (customers check availability before login); no controller-level HTTP tests added, matching the existing repo convention (no WebApplicationFactory tests anywhere else either)",Phase 2 - Catalog & Serviceability
47,Pricing - Pricing rules service: Base; add-on; quantity; city-wise; visit charge; tax/GST; fees per SRS 11.9.1,done,high,"depends on #40e | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification | superseded: decomposed into subtasks 47a,47b,47c,47d,47e,47f,47g | completed: all subtasks (47a-47g) done - see PriceCalculationService",Phase 2 - Catalog & Serviceability
47a,Pricing - Base,done,high,"depends on #40e | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification | completed: base price resolution in PriceCalculationService (Service.Price, or ServiceCityPrice override if configured)",Phase 2 - Catalog & Serviceability
47b,Pricing - add-on,done,high,depends on #47a | completed: add-on line items in PriceCalculationService - validates each add-on belongs to the requested service and is active before pricing it,Phase 2 - Catalog & Serviceability
47c,Pricing - quantity,done,high,depends on #47b | completed: quantity multiplies both the base price (service quantity) and each add-on's unit price (add-on quantity) independently,Phase 2 - Catalog & Serviceability
47d,Pricing - city-wise,done,high,depends on #47c | completed: ServiceCityPrice entity (unique per service+city) overrides the service's base Price for a given city; falls back to Service.Price when absent,Phase 2 - Catalog & Serviceability
47e,Pricing - visit charge,done,high,"depends on #47d | completed: folded into CityPricingPolicy.VisitCharge (one row per city) alongside 47f/47g's tax/fee, since all three are simple per-city scalars",Phase 2 - Catalog & Serviceability
47f,Pricing - tax/GST,done,high,"depends on #47e | completed: CityPricingPolicy.TaxPercentage (0-100), alongside 47e/47g",Phase 2 - Catalog & Serviceability
47g,Pricing - fees per SRS 11.9.1,done,high,"depends on #47f | completed: CityPricingPolicy.PlatformFee (SRS 11.9.1, optional - zero when unconfigured), alongside 47e/47f",Phase 2 - Catalog & Serviceability
48,Pricing - Price calculation API: Server-side authoritative calculation producing price breakdown for checkout (SRS 11.9.2),done,high,"depends on #47g | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification | completed: POST /api/v1/pricing/calculate - FluentValidation shape check (ids present, quantities positive) then IPriceCalculationService for the business calculation; 4 validator tests, full suite 144/144 pass",Phase 2 - Catalog & Serviceability
49,Performance - Catalog read caching: Redis caching for categories/services/serviceability with invalidation on admin changes,done,high,"depends on #17d #41 | completed: ICacheService.GetOrCreateAsync read-through caching wired into CategoryQueryService/ServiceQueryService/ServiceabilityValidationService (CacheKeys vocabulary extended); CategoryCityMapping/ServicePincodeMapping promoted to AggregateRoot, raising change events idempotently on Activate/Deactivate; CatalogCacheInvalidationHandler evicts on catalog lifecycle + mapping-changed events, registered via Infrastructure's own AddMediatR scan (Application.AddApplication only scanned its own assembly, so this handler was previously unreachable - fixed); found and fixed a real bug in GetOrCreateAsync where a boxed T? null-check can't distinguish a cache miss from a legitimately-cached default(T) for non-nullable value types (bool), which made every cached serviceability check return false unconditionally - fixed by resolving hit/miss from the raw payload instead, in both DistributedCacheService and the test double; 12 new tests (cache-survives-mutation regression, invalidation handler per event type, DI-wiring regression) + fixed 4 pre-existing test files broken by the new ICacheService constructor params; full suite 152/152 pass",Phase 2 - Catalog & Serviceability
152,"Backend - Public geography API: cities/states listing and locality search for location selection (SRS 11.1, 11.4.1)",done,high,"discovered while building task 50/53: no public API existed anywhere to list cities or resolve a locality id, blocking the frontend city/locality selectors and the slot/serviceability APIs that need those ids | completed: GeographyController (GET /geography/cities, GET /geography/cities/{cityId}/localities?search=) + IGeographyRepository/GeographyRepository + IGeographyQueryService/GeographyQueryService; 3 new tests, full suite 155/155 pass",Phase 2 - Catalog & Serviceability
153,Backend - Expose serviceability validation via a public API (finishes task 43's title promise),done,high,"depends on #43 | task 43's own completion note only covered the service layer, never a controller - the ""exposed via API"" clause in its title was never delivered, discovered while building task 53 | completed: ServiceabilityController (GET /serviceability/categories/{categoryId}?cityId=, GET /serviceability/services/{serviceId}?localityId=) reusing the existing IServiceabilityValidationService; no new service-layer tests needed (thin controller delegating to already-tested logic)",Phase 2 - Catalog & Serviceability
50,Frontend - Home page: Hero banners; search; category tiles; city selector; trust markers (SRS 11.1),decomposed,high,"depends on #15 #41 | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification | superseded: decomposed into subtasks 50a,50b,50c,50d,50e",Phase 2 - Catalog & Serviceability
50a,Frontend - Hero banners,done,high,"depends on #15 #41 | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification | completed: static hero section (HeroBanner.tsx) with the global search bar - no admin-configurable banner backend exists (no Banner/Promotion entity or API anywhere), so content is static rather than fabricated",Phase 2 - Catalog & Serviceability
50b,Frontend - search,done,high,"depends on #50a | completed: SearchBar.tsx (global, routes to /search) + /search page wired to GET /catalog/search (task 42c)",Phase 2 - Catalog & Serviceability
50c,Frontend - category tiles,done,high,"depends on #50b | completed: CategoryTiles.tsx: city-filtered category grid on the home page, wired to GET /categories?cityId= (task 41/49)",Phase 2 - Catalog & Serviceability
50d,Frontend - city selector,done,high,"depends on #50c | completed: CitySelector.tsx (modal city picker in SiteHeader, sitewide) wired to the new GET /geography/cities (task 152); persisted client-side via lib/location.ts",Phase 2 - Catalog & Serviceability
50e,Frontend - trust markers (SRS 11.1),done,high,depends on #50d | completed: TrustMarkers.tsx: static benefits/trust section - no backend-driven ratings/testimonials data exists yet,Phase 2 - Catalog & Serviceability
51,Frontend - Category pages: Category listing and detail pages with service cards (SRS 11.5),done,high,"depends on #50e | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification | completed: /categories (listing, city-filtered) and /categories/[slug] (detail: banner, description, nested service cards) pages, wired to GET /categories and GET /categories/{slug} (task 41)",Phase 2 - Catalog & Serviceability
52,Frontend - Service detail page: Full detail: inclusions; add-ons; pricing; FAQs; policies; reviews summary (SRS 11.6),decomposed,high,"depends on #51 #42c | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification | superseded: decomposed into subtasks 52a,52b,52c,52d,52e,52f",Phase 2 - Catalog & Serviceability
52a,Frontend - Full detail: inclusions,done,high,"depends on #51 #42c | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification | completed: service detail page inclusions section, wired to GET /services/{slug} (task 42b)",Phase 2 - Catalog & Serviceability
52b,Frontend - add-ons,done,high,depends on #52a | completed: add-on selection UI (PriceCalculator.tsx checkboxes) feeding the live price calculation,Phase 2 - Catalog & Serviceability
52c,Frontend - pricing,done,high,depends on #52b | completed: PriceCalculator.tsx: quantity + add-on selection with a live server-calculated breakdown via POST /pricing/calculate (task 48),Phase 2 - Catalog & Serviceability
52d,Frontend - FAQs,done,high,"depends on #52c | completed: consumer-api ServiceDetailResponse now includes Faqs (ServiceFaqResponse[]) via new IServiceFaqRepository/ServiceFaqRepository over the existing ServiceFaq entity+config; customer-web service detail page renders them via new ServiceFaqs.tsx (native details/summary accordion). Verified: dotnet build + Catalog.Tests pass, npm run build passes.",Phase 2 - Catalog & Serviceability
52e,Frontend - policies,done,high,"depends on #52d | completed: cancellation/reschedule policy section on the service detail page, from ServiceDetailResponse's existing fields",Phase 2 - Catalog & Serviceability
52f,Frontend - reviews summary (SRS 11.6),done,high,"depends on #52e | completed: new GET /api/v1/services/{slug}/reviews-summary on ServicesController (IServiceQueryService.GetReviewSummaryBySlugAsync) reuses existing IReviewRepository.ListByServiceAsync to return avg rating, count, 1-5 rating breakdown, and recent visible reviews (SRS 11.6). customer-web renders it via new ReviewsSummary.tsx on the service detail page. Verified: dotnet build + Catalog.Tests/Performance.Tests pass, npm run build passes.",Phase 2 - Catalog & Serviceability
53,Frontend - Location and serviceability UX: City/pincode selection; non-serviceable blocking messages (SRS 11.4.3),done,high,"depends on #50e #43 | completed: LocalitySelector.tsx (pincode/locality search within the selected city, via new task 152 API) + ServiceAvailability.tsx on the service detail page: blocks with a clear message when GET /serviceability/services/{id} (task 153) reports not-serviceable, otherwise shows real slot availability (GET /slots, task 46) for the day - informational only, since no booking/cart API exists yet to submit a slot against. Category-level non-serviceable blocking (SRS 11.4.3) was already handled server-side by task 41/49 (categories endpoint only returns categories mapped active in the requested city)",Phase 2 - Catalog & Serviceability
54,QA - Catalog and slot engine tests: Serviceability dimensions; slot cutoff/blackout/capacity edge cases; price calc scenarios,decomposed,high,"depends on #46 #48 | superseded: decomposed into subtasks 54a,54b,54c",Phase 2 - Catalog & Serviceability
54a,QA - Serviceability dimensions,done,high,"depends on #46 #48 | completed: audited ServiceabilityValidationServiceTests against SRS 11.4.2's dimensions and added the 2 gaps found: a deactivated (not just absent) category-city mapping reported not-serviceable, and an unknown pincode checked directly (not just via an unknown locality) returning NotFound",Phase 2 - Catalog & Serviceability
54b,QA - slot cutoff/blackout/capacity edge cases,done,high,"depends on #54a | completed: audited SlotAvailabilityServiceTests and added 3 gaps: the day immediately after a blackout range is not blocked (off-by-one on SlotBlackout.CoversDate), a date exactly on the max-advance-days boundary still returns slots (off-by-one on the advance-window check), and RevalidateSlotAsync fails once the cutoff passes between a slot being offered and the customer confirming it (previously only blackout was tested as a revalidation-failure cause)",Phase 2 - Catalog & Serviceability
54c,QA - price calc scenarios,done,high,"depends on #54b | completed: audited PriceCalculationServiceTests and added 3 gaps: zero/negative add-on quantity rejected (Pricing.InvalidAddOnQuantity had zero test coverage despite existing in code), an inactive service rejected as not-found, and an inactive add-on rejected even when it belongs to the right service",Phase 2 - Catalog & Serviceability
55,Booking - Booking schema: Tables: booking; booking_item; booking_addon_item; booking_status_history + snapshot columns (SRS 23.3),decomposed,high,"depends on #21 #37b | earlier attempt hit CS0234/CS0246 namespace errors; entity drafts salvaged to _salvage/booking/ (Booking, BookingItem, BookingAddonItem, BookingStatusHistory) - use Nestly.Domain namespace, not backend.shared.*; reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification | superseded: decomposed into subtasks 55a,55b,55c,55d",Phase 3 - Booking Core
55a,Booking - Tables: booking,done,high,"depends on #21 #37b | earlier attempt hit CS0234/CS0246 namespace errors; entity drafts salvaged to _salvage/booking/ (Booking, BookingItem, BookingAddonItem, BookingStatusHistory) - use Nestly.Domain namespace, not backend.shared.*; reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification | completed: Booking aggregate root (backend/shared/Domain/Booking.cs): customer/address/slot/price snapshot columns per SRS 23.3 and CustomerAddress.cs's own design note (denormalized fields, no FK to the mutable source rows), FK to Customer, EF migration 20260730171704_AddBookingSchema. built from scratch rather than the _salvage/booking/ drafts - those were thin skeletons (bare Entity<Guid>, string Status, no snapshot fields, no lifecycle validation) that didn't meet SRS 23.3's immutable-snapshot requirement or SRS 13's 13-state lifecycle; kept only as confirmation of entity/field names",Phase 3 - Booking Core
55b,Booking - booking_item,done,high,"depends on #55a | completed: BookingItem child entity (service line, snapshot name/slug/price/quantity), owned by Booking via a private-field-backed IReadOnlyList navigation",Phase 3 - Booking Core
55c,Booking - booking_addon_item,done,high,"depends on #55b | completed: BookingAddOnItem child entity (add-on line under a BookingItem, snapshot name/price/quantity)",Phase 3 - Booking Core
55d,Booking - booking_status_history + snapshot columns (SRS 23.3),done,high,"depends on #55c | completed: BookingStatusHistory child entity (append-only, FromStatus/ToStatus/Reason/ChangedAtUtc) + all snapshot columns from 55a",Phase 3 - Booking Core
56a,Booking - Define 13 booking states and lifecycle enum,done,high," | completed: BookingStatus enum, the 13 states from SRS 13.1 exactly",Phase 3 - Booking Core
56b,Booking - Implement state transition matrix and invariants,done,high,"depends on #56a | completed: BookingLifecycle static transition matrix (IsValidTransition/IsTerminal) as its own testable table, not scattered guard clauses",Phase 3 - Booking Core
56c,Booking - Add booking status history tracking,done,high,"depends on #56b | completed: Booking.TransitionTo appends a BookingStatusHistory row on every change, including the initial Initiated row at creation",Phase 3 - Booking Core
56d,Booking - Add booking rules enforcement (immutability),done,high,"depends on #56c | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification | completed: Booking.AddItem throws once status has moved past Initiated (EnsureStillMutable) - the price/item snapshot locks the instant payment starts, per SRS 14.1",Phase 3 - Booking Core
154,Backend - Link CustomerAddress to the Geography module (SRS 12.9.1),done,high,"discovered while starting task 57 (booking summary service): CustomerAddress (Phase 1) stores city/pincode as free text with no way to resolve a localityId/pincodeId for the slot/serviceability APIs (Phase 2). User chose to add optional PincodeId/LocalityId to CustomerAddress, backfilled on save via a text match, over keeping the two selections fully separate | completed: CustomerAddress.PincodeId/LocalityId (nullable, SetNull on delete - not a snapshot field, this is a maintained link, unlike Booking's deliberately-non-FK columns) resolved by CustomerAddressService on every AddAsync/UpdateAsync via IGeographyRepository.FindActivePincodeIdByCodeAsync (Pincode.Code is globally unique, no city-name matching needed); LocalityId always resolves to null for now - the address form has no locality-name field to match against, noted as a real gap rather than a fragile fuzzy-match against Line1/Landmark text; migration 20260730 AddCustomerAddressGeographyLink; 4 new tests (resolved, unmatched, inactive-pincode, re-resolve-on-update), full suite 176/176 pass",Phase 3 - Booking Core
57,Booking - Booking summary service: Cart model (single-service Phase 1 configurable); summary with price breakdown and policy display (SRS 11.7),done,high,"depends on #48 #56d | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification | completed: BookingSummaryService composes the already-tested ISlotAvailabilityService and IPriceCalculationService rather than re-validating independently, so a summary can never approve a combination booking creation would reject; POST /api/v1/bookings/summary ([Authorize], IDOR-scoped to the JWT customer id like the address endpoints). Distinguishes Booking.NotServiceable (locality) from Booking.SlotNotAvailable (specific window) rather than one conflated error. Coupon discount/wallet credit omitted from the response - neither module exists yet (Phase 4). 6 new tests, full suite 182/182 pass",Phase 3 - Booking Core
58,Booking - Booking creation orchestration: Preconditions: identity; active catalog; serviceable address; valid slot; price snapshot; payment policy (SRS 11.12.1; 32.1),decomposed,critical,"depends on #57 #46 #30 | auto-blocked: depends on blocked task #30 | unblocked: manual reset, dependency gate re-checked at runtime | superseded: decomposed into subtasks 58a,58b,58c,58d,58e,58f",Phase 3 - Booking Core
58a,Booking - Preconditions: identity,done,critical,"depends on #57 #46 #30| unblocked: manual reset, dependency gate re-checked at runtime",Phase 3 - Booking Core
58b,Booking - active catalog,done,critical,depends on #58a,Phase 3 - Booking Core
58c,Booking - serviceable address,done,critical,depends on #58b,Phase 3 - Booking Core
58d,Booking - valid slot,done,critical,depends on #58c,Phase 3 - Booking Core
58e,Booking - price snapshot,done,critical,depends on #58d,Phase 3 - Booking Core
58f,Booking - payment policy (SRS 11.12.1; 32.1),done,critical,depends on #58e,Phase 3 - Booking Core
59,Booking - Booking snapshot persistence: Immutable snapshots: customer; address; service; add-ons; slot; price; coupon; tax (SRS 8.2; 11.12.2),decomposed,critical,"depends on #58f | auto-blocked: depends on blocked task #58 | unblocked: manual reset, dependency gate re-checked at runtime | superseded: decomposed into subtasks 59a,59b,59c,59d,59e,59f,59g,59h",Phase 3 - Booking Core
59a,Booking - Immutable snapshots: customer,done,critical,"depends on #58f| unblocked: manual reset, dependency gate re-checked at runtime",Phase 3 - Booking Core
59b,Booking - address,done,critical,depends on #59a,Phase 3 - Booking Core
59c,Booking - service,done,critical,depends on #59b,Phase 3 - Booking Core
59d,Booking - add-ons,done,critical,depends on #59c,Phase 3 - Booking Core
59e,Booking - slot,done,critical,depends on #59d,Phase 3 - Booking Core
59f,Booking - price,done,critical,depends on #59e,Phase 3 - Booking Core
59g,Booking - coupon,done,critical,depends on #59f,Phase 3 - Booking Core
59h,Booking - tax (SRS 8.2; 11.12.2),done,critical,depends on #59g,Phase 3 - Booking Core
60,Booking - Customer booking APIs: Create booking; list (upcoming/completed/cancelled); booking detail with status timeline (SRS 11.13; 24.6),decomposed,high,"depends on #59h | auto-blocked: depends on blocked task #59 | unblocked: manual reset, dependency gate re-checked at runtime | superseded: decomposed into subtasks 60a,60b,60c",Phase 3 - Booking Core
60a,Booking - Create booking,done,high,"depends on #59h| unblocked: manual reset, dependency gate re-checked at runtime",Phase 3 - Booking Core
60b,Booking - list (upcoming/completed/cancelled),done,high,depends on #60a,Phase 3 - Booking Core
60c,Booking - booking detail with status timeline (SRS 11.13; 24.6),done,high,depends on #60b,Phase 3 - Booking Core
61,Booking - Status mapping layer: Customer-visible status labels distinct from internal operational status (SRS 13.2),done,high,depends on #56d,Phase 3 - Booking Core
62,Frontend - Booking summary page: Cart/summary with add-on; address; slot; coupon; price breakdown; policy summary (SRS 11.7),decomposed,high,"depends on #52f #57 | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification | superseded: decomposed into subtasks 62a,62b,62c,62d,62e,62f",Phase 3 - Booking Core
62a,Frontend - Cart/summary with add-on,done,high,"depends on #52f #57 | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification",Phase 3 - Booking Core
62b,Frontend - address,done,high,depends on #62a,Phase 3 - Booking Core
62c,Frontend - slot,done,high,depends on #62b,Phase 3 - Booking Core
62d,Frontend - coupon,done,high,depends on #62c,Phase 3 - Booking Core
62e,Frontend - price breakdown,done,high,depends on #62d,Phase 3 - Booking Core
62f,Frontend - policy summary (SRS 11.7),done,high,depends on #62e,Phase 3 - Booking Core
63,Frontend - Slot selection UI: Date picker + time windows; disabled slots; graceful failure on stale slot (SRS 11.8),decomposed,high,"depends on #62f #46 | superseded: decomposed into subtasks 63a,63b,63c",Phase 3 - Booking Core
63a,Frontend - Date picker + time windows,done,high,depends on #62f #46,Phase 3 - Booking Core
63b,Frontend - disabled slots,done,high,depends on #63a,Phase 3 - Booking Core
63c,Frontend - graceful failure on stale slot (SRS 11.8),done,high,depends on #63b,Phase 3 - Booking Core
64,Frontend - Booking success page: Confirmation: booking ID; summary; guidance; link to detail (SRS 11.12.3),decomposed,high,"depends on #60c | auto-blocked: depends on blocked task #60 | unblocked: manual reset, dependency gate re-checked at runtime | superseded: decomposed into subtasks 64a,64b,64c,64d",Phase 3 - Booking Core
64a,Frontend - Confirmation: booking ID,done,high,"depends on #60c| unblocked: manual reset, dependency gate re-checked at runtime",Phase 3 - Booking Core
64b,Frontend - summary,done,high,depends on #64a,Phase 3 - Booking Core
64c,Frontend - guidance,done,high,depends on #64b,Phase 3 - Booking Core
64d,Frontend - link to detail (SRS 11.12.3),done,high,depends on #64c,Phase 3 - Booking Core
65,Frontend - Order history and detail pages: Booking list tabs and full detail with timeline; refund info; action CTAs (SRS 11.13),decomposed,high,"depends on #60c | auto-blocked: depends on blocked task #60 | unblocked: manual reset, dependency gate re-checked at runtime | superseded: decomposed into subtasks 65a,65b,65c",Phase 3 - Booking Core
65a,Frontend - Booking list tabs and full detail with timeline,done,high,"depends on #60c| unblocked: manual reset, dependency gate re-checked at runtime",Phase 3 - Booking Core
65b,Frontend - refund info,done,high,depends on #65a,Phase 3 - Booking Core
65c,Frontend - action CTAs (SRS 11.13),done,high,depends on #65b,Phase 3 - Booking Core
66,QA - Booking lifecycle tests: State transition matrix coverage; snapshot immutability; concurrent slot race cases,decomposed,high,"depends on #60c | auto-blocked: depends on blocked task #60 | unblocked: manual reset, dependency gate re-checked at runtime | superseded: decomposed into subtasks 66a,66b,66c",Phase 3 - Booking Core
66a,QA - State transition matrix coverage,done,high,"depends on #60c| unblocked: manual reset, dependency gate re-checked at runtime",Phase 3 - Booking Core
66b,QA - snapshot immutability,done,high,depends on #66a,Phase 3 - Booking Core
66c,QA - concurrent slot race cases,done,high,depends on #66b,Phase 3 - Booking Core
67,Payments - Financial schema: Tables: payment_transaction; payment_attempt; refund_transaction; wallet_ledger; coupon; coupon_redemption (SRS 23.4),decomposed,high,"depends on #9c | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification | superseded: decomposed into subtasks 67a,67b,67c,67d,67e,67f",Phase 4 - Payments & Financial
67a,Payments - Tables: payment_transaction,done,high,"depends on #9c | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification",Phase 4 - Payments & Financial
67b,Payments - payment_attempt,done,high,depends on #67a,Phase 4 - Payments & Financial
67c,Payments - refund_transaction,done,high,depends on #67b,Phase 4 - Payments & Financial
67d,Payments - wallet_ledger,done,high,depends on #67c,Phase 4 - Payments & Financial
67e,Payments - coupon,done,high,depends on #67d,Phase 4 - Payments & Financial
67f,Payments - coupon_redemption (SRS 23.4),done,high,depends on #67e,Phase 4 - Payments & Financial
68a,Payments - Define payment gateway interface (create order),done,critical,"depends on #67f #58f| unblocked: manual reset, dependency gate re-checked at runtime",Phase 4 - Payments & Financial
68b,Payments - Implement sandbox gateway,done,critical,"depends on #68a| unblocked: manual reset, dependency gate re-checked at runtime",Phase 4 - Payments & Financial
68c,Payments - Add payment order validation and formatting,done,high,"depends on #68b| unblocked: manual reset, dependency gate re-checked at runtime",Phase 4 - Payments & Financial
68d,Payments - Add idempotency keys and request deduplication,done,critical,"depends on #68c| unblocked: manual reset, dependency gate re-checked at runtime",Phase 4 - Payments & Financial
69,Payments - Payment verification and webhook: Signed callback verification; idempotent duplicate handling; booking-payment mapping (SRS 11.11.3),decomposed,critical,"depends on #68d | auto-blocked: depends on blocked task #68d | unblocked: manual reset, dependency gate re-checked at runtime | superseded: decomposed into subtasks 69a,69b,69c",Phase 4 - Payments & Financial
69a,Payments - Signed callback verification,done,critical,"depends on #68d| unblocked: manual reset, dependency gate re-checked at runtime",Phase 4 - Payments & Financial
69b,Payments - idempotent duplicate handling,done,critical,depends on #69a,Phase 4 - Payments & Financial
69c,Payments - booking-payment mapping (SRS 11.11.3),done,critical,depends on #69b,Phase 4 - Payments & Financial
